gene	conserved	specific
ENSG00000042317	nan	nan
ENSG00000106003	0.484186746988	0.216114457831
ENSG00000103507	nan	nan
ENSG00000124205	0.460105112279	0.244624940277
ENSG00000159363	0.381278538813	0.30898021309
ENSG00000152137	nan	nan
ENSG00000168036	0.44971659919	0.250688259109
ENSG00000106483	0.457085828343	0.244178310047
ENSG00000169031	0.512353706112	0.214564369311
ENSG00000077279	0.501238645747	0.22460776218
ENSG00000169032	0.452924097885	0.245126503526
ENSG00000039068	0.452456924059	0.226547543076
ENSG00000152556	0.388111888112	0.270396270396
ENSG00000175097	0.475040257649	0.220611916264
ENSG00000018236	0.500745156483	0.21609538003
ENSG00000087494	0.523654159869	0.207177814029
ENSG00000171403	nan	nan
ENSG00000182492	0.424270931326	0.25305738476
ENSG00000156150	0.630225080386	0.144694533762
ENSG00000261609	nan	nan
ENSG00000092330	0.430769230769	0.266346153846
ENSG00000215644	0.451788491446	0.255054432348
ENSG00000178573	0.574108818011	0.18574108818
ENSG00000111775	0.350180505415	0.314079422383
ENSG00000178802	nan	nan
ENSG00000120903	0.434210526316	0.265789473684
ENSG00000152620	nan	nan
ENSG00000105877	nan	nan
ENSG00000106397	0.492029755579	0.223166843783
ENSG00000143858	0.446333687566	0.272051009564
ENSG00000011600	0.440878378378	0.253378378378
ENSG00000057294	0.46511627907	0.239664082687
ENSG00000198523	0.465153970827	0.231766612642
ENSG00000102878	nan	nan
ENSG00000102879	0.414634146341	0.274080198429
ENSG00000104884	0.441812136326	0.255610972569
ENSG00000105610	0.396634615385	0.288461538462
ENSG00000043355	nan	nan
ENSG00000166349	0.413617886179	0.271341463415
ENSG00000105618	0.359296482412	0.321608040201
ENSG00000166340	0.38500635324	0.293519695044
ENSG00000168509	nan	nan
ENSG00000176387	0.469172932331	0.234586466165
ENSG00000100170	0.460784313725	0.252450980392
ENSG00000102678	0.475205137353	0.229753835177
ENSG00000177706	0.488372093023	0.209302325581
ENSG00000068976	0.423694779116	0.236947791165
ENSG00000180644	0.379487179487	0.341025641026
ENSG00000178971	0.440166493236	0.260145681582
ENSG00000168484	nan	nan
ENSG00000168610	0.440527182867	0.25766062603
ENSG00000102580	0.385514018692	0.308411214953
ENSG00000168615	0.43605870021	0.256813417191
ENSG00000244038	nan	nan
ENSG00000166123	0.289285714286	0.371428571429
ENSG00000166126	0.366279069767	0.295058139535
ENSG00000105722	nan	nan
